time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-13T03:24:53.520Z,33.4738333,-116.4405,13.13,2.86,ml,110,25,0.05096,0.21,ci,ci39910327,2022-01-13T18:10:35.200Z,"23km ESE of Anza, CA",earthquake,0.13,0.32,0.14,25,reviewed,ci,ci
2022-01-13T03:20:24.487Z,-45.7059,166.6433,17.12,4.4,mb,,75,0.431,0.77,us,us7000gbis,2022-01-13T04:44:50.976Z,"89 km WSW of Te Anau, New Zealand",earthquake,3.1,3,0.202,7,reviewed,us,us
2022-01-13T03:19:08.700Z,33.4688333,-116.443,13.97,3.86,mw,124,20,0.05631,0.21,ci,ci39910255,2022-01-15T15:32:08.984Z,"23km ESE of Anza, CA",earthquake,0.11,0.23,,6,reviewed,ci,ci
2022-01-13T02:03:28.810Z,-23.1503,-114.5323,10,4.9,mb,,153,39.39,1.23,us,us7000gbic,2022-01-13T02:31:09.040Z,"Easter Island region",earthquake,8,2,0.08,52,reviewed,us,us
2022-01-13T01:46:01.768Z,51.4299,-179.9503,49.37,5.1,mb,,136,0.56,1.05,us,us7000gbi3,2022-01-15T01:56:14.775Z,"234 km WSW of Adak, Alaska",earthquake,8.1,6.6,0.025,531,reviewed,us,us
2022-01-13T01:21:41.106Z,44.7926,148.7627,81.93,4.4,mb,,180,4.468,0.61,us,us7000gbi5,2022-01-13T02:13:57.040Z,"84 km SE of Kuril’sk, Russia",earthquake,15.6,11.3,0.1,31,reviewed,us,us
2022-01-12T23:30:25.830Z,17.9861,-66.8413,16,2.5,md,7,186,0.0395,0.1,pr,pr2022012005,2022-01-12T23:49:23.275Z,"2 km WSW of Indios, Puerto Rico",earthquake,0.59,0.57,0.15,4,reviewed,pr,pr
2022-01-12T23:01:37.236Z,-37.9138,-74.0588,12.62,4.5,mb,,187,1.354,0.64,us,us7000gbh5,2022-01-13T00:03:12.040Z,"49 km SW of Lebu, Chile",earthquake,9.3,6.8,0.221,6,reviewed,us,us
2022-01-12T22:54:24.403Z,37.6819,25.9864,10,4.1,mb,,71,1.563,0.6,us,us7000gbh2,2022-01-12T23:50:36.040Z,"28 km WNW of Agios Kirykos, Greece",earthquake,4.5,1.9,0.131,16,reviewed,us,us
2022-01-12T22:50:45.800Z,19.1713333333333,-155.478333333333,35.64,2.73,ml,53,83,,0.11,hv,hv72869492,2022-01-12T23:40:27.040Z,"3 km S of P?hala, Hawaii",earthquake,0.41,0.57,0.172740284176831,23,reviewed,hv,hv
2022-01-12T22:24:02.210Z,53.8601666666667,-166.788333333333,7.6,2.67,ml,18,124,,0.14,av,av91461591,2022-01-13T02:21:21.090Z,"16 km WSW of Dutch Harbor, Alaska",earthquake,0.45,0.19,0.295548163878766,19,reviewed,av,av
2022-01-12T21:21:50.506Z,-18.6969,-69.335,135.27,4,mb,,87,0.395,0.53,us,us7000gbg8,2022-01-12T22:10:45.040Z,"104 km ESE of Arica, Chile",earthquake,5.9,4.5,0.211,6,reviewed,us,us
2022-01-12T20:46:59.312Z,25.292,93.9876,10,4.6,mb,,119,1.946,0.98,us,us7000gbfz,2022-01-14T17:55:58.152Z,"44 km SSW of Koh?ma, India",earthquake,7.3,1.9,0.128,18,reviewed,us,us
2022-01-12T20:13:45.400Z,19.1641666666667,-155.498833333333,36.25,2.65,md,49,109,,0.12,hv,hv72869302,2022-01-12T21:12:32.040Z,"4 km SSW of P?hala, Hawaii",earthquake,0.43,0.56,0.127214089839864,20,reviewed,hv,hv
